TIMD TIMA DEPT ARRV ACty
0400 0700 EFHK LGSA B737
0440 0830 EKBI LTAI B738
0500 0830 EKBI LEAM B737
0500 0845 ESGG LCLK B738
0505 0835 ESSA LTFE B738
0600 0810 EKCH LBWN B738
0630 1200 BIKF LGSA B738
0842 1145 LGSA EFHK B737
0926 1320 LTAI EKBI B738
0933 1140 LBWN EKBI B738
0935 1300 LEAM EKCH B737
1000 1335 LTFE ESMS B738
1025 1410 LCLK ESGG B738
1330 1700 LGSA BIKF B738
1345 1555 EKBI LBWN B738
1405 1450 ESMS ESGG B738
1425 1740 EKCH LEAM B737
1430 1730 EKBI LTBS B738
1450 1700 EFHK LBWN B737
1600 1645 ESGG ESMS B738
1720 2030 ESMS LTFE B738
1750 2020 LBWN EKCH B738
1910 2240 LEAM EKBI B737
1910 2210 LTBS EKBI B738
1938 2150 LBWN EFHK B737
2125 2355 BIKF EKBI B738
2145 2355 LTFE ESSA B738
2305 2335 EKBI EKAH B737
2340 0035 ESMS ESGG B738
